Trace
Swept SA
A.21.04,N9000B
880000000,-83.363410949707
890000000,-116.227386474609
900000000,-84.8612594604492
910000000,-113.826538085938
920000000,-84.1372528076172
930000000,-123.254829406738
940000000,-81.7147216796875
950000000,-116.455627441406
960000000,-73.1732788085938
970000000,-117.088729858398
980000000,-84.8399276733398
990000000,-115.28466796875
1000000000,-84.0693283081055
1010000000,-116.908576965332
1020000000,-82.7085418701172
1030000000,-114.521217346191
1040000000,-76.122314453125
1050000000,-112.73779296875
1060000000,-83.2027282714844
1070000000,-114.425819396973
1080000000,-83.1577377319336
1090000000,-110.977951049805
1100000000,-81.9147186279297
1110000000,-109.86873626709
1120000000,-82.1829452514648
1130000000,-109.558059692383
1140000000,-70.14306640625
1150000000,-113.335250854492
1160000000,-82.8394546508789
1170000000,-114.981544494629
1180000000,-83.2935180664063
1190000000,-116.199493408203
1200000000,-83.5232620239258
1210000000,-112.798843383789
1220000000,-83.3197479248047
1230000000,-111.429153442383
1240000000,-83.1159286499023
1250000000,-114.767333984375
1260000000,-84.0578536987305
1270000000,-112.2646484375
1280000000,-83.5317840576172
1290000000,-115.234825134277
1300000000,-83.0920257568359
1310000000,-115.314384460449
1320000000,-83.9142761230469
1330000000,-113.151100158691
1340000000,-79.8373641967773
1350000000,-112.796028137207
1360000000,-82.6705017089844
1370000000,-116.380355834961
1380000000,-84.9777908325195
1390000000,-112.768142700195
1400000000,-84.993537902832
1410000000,-117.192886352539
1420000000,-66.230598449707
1430000000,-117.368621826172
1440000000,-84.6834030151367
1450000000,-113.398284912109
1460000000,-83.8852615356445
1470000000,-114.069869995117
1480000000,-84.6508407592773
1490000000,-113.645469665527
1500000000,-83.9014053344727
1510000000,-108.462181091309
1520000000,-55.3969345092773
1530000000,-119.229331970215
1540000000,-82.9889678955078
1550000000,-108.516128540039
1560000000,-83.0546493530273
1570000000,-114.577461242676
1580000000,-82.3896331787109
1590000000,-112.361236572266
1600000000,-82.2334518432617
1610000000,-111.630973815918
1620000000,-64.0827484130859
1630000000,-114.781265258789
1640000000,-83.3815536499023
1650000000,-114.529304504395
1660000000,-81.9734954833984
1670000000,-111.890480041504
1680000000,-83.6215438842773
1690000000,-110.166023254395
1700000000,-82.6459808349609
1710000000,-112.291313171387
1720000000,-39.5328826904297
1730000000,-112.834579467773
1740000000,-83.6951446533203
1750000000,-113.746643066406
1760000000,-83.2126312255859
1770000000,-113.89852142334
1780000000,-81.4194412231445
1790000000,-109.761940002441
1800000000,-46.4484405517578
1810000000,-112.348365783691
1820000000,-81.6838684082031
1830000000,-112.428596496582
1840000000,-83.7464752197266
1850000000,-121.056716918945
1860000000,-82.345085144043
1870000000,-110.835800170898
1880000000,-82.5042114257813
1890000000,-114.499092102051
1900000000,-27.5006580352783
1910000000,-113.32967376709
1920000000,-81.8589248657227
1930000000,-113.897758483887
1940000000,-82.9096984863281
1950000000,-109.97664642334
1960000000,-81.6007995605469
1970000000,-113.706787109375
1980000000,-81.5162658691406
1990000000,-113.223175048828
2000000000,-34.56396484375
2010000000,-113.888725280762
2020000000,-82.234733581543
2030000000,-113.983444213867
2040000000,-81.9772491455078
2050000000,-112.730476379395
2060000000,-81.7963638305664
2070000000,-112.410362243652
2080000000,-80.9648056030273
2090000000,-116.65047454834
2100000000,-26.6463413238525
2110000000,-107.64917755127
2120000000,-80.3989486694336
2130000000,-112.455223083496
2140000000,-81.516716003418
2150000000,-111.732727050781
2160000000,-80.3923263549805
2170000000,-110.375671386719
2180000000,-43.3168983459473
2190000000,-110.597030639648
2200000000,-80.195686340332
2210000000,-110.176277160645
2220000000,-79.0847015380859
2230000000,-113.076454162598
2240000000,-79.8739166259766
2250000000,-109.211456298828
2260000000,-79.8496856689453
2270000000,-107.608001708984
2280000000,-36.4941444396973
2290000000,-122.057258605957
2300000000,-79.5235137939453
2310000000,-109.024299621582
2320000000,-80.6291122436523
2330000000,-107.558319091797
2340000000,-81.4220581054688
2350000000,-109.515602111816
2360000000,-81.8419876098633
2370000000,-112.189895629883
2380000000,-60.285717010498
2390000000,-113.383041381836
2400000000,-81.8571090698242
2410000000,-110.270225524902
2420000000,-82.2112808227539
2430000000,-108.792526245117
2440000000,-81.9393310546875
2450000000,-112.156059265137
2460000000,-81.0590209960938
2470000000,-115.500274658203
2480000000,-54.616081237793
2490000000,-110.683387756348
2500000000,-80.3505096435547
2510000000,-111.542930603027
2520000000,-80.0146865844727
2530000000,-108.92057800293
2540000000,-80.3663864135742
2550000000,-106.809074401855
