Trace
Swept SA
A.21.04,N9000B
8800000,-91.4150848388672
8840000,-99.3500442504883
8880000,-90.9298400878906
8920000,-101.334564208984
8960000,-56.1337928771973
9000000,-98.9094543457031
9040000,-56.1187362670898
9080000,-111.673599243164
9120000,-92.627197265625
9160000,-106.517890930176
9200000,-93.6377105712891
9240000,-104.049247741699
9280000,-91.884391784668
9320000,-98.5038528442383
9360000,-88.7705612182617
9400000,-116.949935913086
9440000,-93.0661849975586
9480000,-112.475532531738
9520000,-92.0110626220703
9560000,-104.009544372559
9600000,-91.5350494384766
9640000,-119.395309448242
9680000,-93.5490570068359
9720000,-105.63697052002
9760000,-92.5448684692383
9800000,-111.801055908203
9840000,-92.6775360107422
9880000,-104.544364929199
9920000,-90.5432434082031
9960000,-110.618614196777
10000000,-92.356071472168
10040000,-112.815101623535
10080000,-92.4926223754883
10120000,-105.550338745117
10160000,-91.4335250854492
10200000,-113.447441101074
10240000,-92.3867492675781
10280000,-104.922431945801
10320000,-88.8002319335938
10360000,-103.110626220703
10400000,-91.7322311401367
10440000,-100.338470458984
10480000,-89.3529586791992
10520000,-105.178855895996
10560000,-91.4379730224609
10600000,-106.542442321777
10640000,-91.8926315307617
10680000,-109.668762207031
10720000,-96.2992248535156
10760000,-98.7843399047852
10800000,-91.6061401367188
10840000,-105.936546325684
10880000,-94.4921646118164
10920000,-104.804801940918
10960000,-92.051399230957
11000000,-106.356628417969
11040000,-92.742073059082
11080000,-107.524993896484
11120000,-94.9530334472656
11160000,-109.114868164063
11200000,-91.7404861450195
11240000,-109.171142578125
11280000,-90.3587493896484
11320000,-105.95011138916
11360000,-91.9579772949219
11400000,-105.047180175781
11440000,-92.4213256835938
11480000,-108.681427001953
11520000,-91.213737487793
11560000,-106.956657409668
11600000,-92.2036361694336
11640000,-105.984245300293
11680000,-92.5401611328125
11720000,-111.37035369873
11760000,-92.9566497802734
11800000,-106.292900085449
11840000,-93.3873901367188
11880000,-104.366012573242
11920000,-91.6432037353516
11960000,-106.142669677734
12000000,-95.288948059082
12040000,-106.090744018555
12080000,-93.4132614135742
12120000,-108.699722290039
12160000,-92.8429107666016
12200000,-117.513168334961
12240000,-91.7314758300781
12280000,-109.319343566895
12320000,-91.868049621582
12360000,-120.643142700195
12400000,-95.1456451416016
12440000,-103.223037719727
12480000,-88.8327484130859
12520000,-111.464172363281
12560000,-95.2381744384766
12600000,-106.202201843262
12640000,-89.1580657958984
12680000,-105.590888977051
