Trace
Swept SA
A.21.04,N9000B
880000000,-84.8418426513672
890000000,-111.798873901367
900000000,-68.0773086547852
910000000,-114.913200378418
920000000,-83.8537521362305
930000000,-111.555404663086
940000000,-84.7780990600586
950000000,-113.068672180176
960000000,-84.1757965087891
970000000,-114.839912414551
980000000,-83.1979675292969
990000000,-116.943374633789
1000000000,-84.7704772949219
1010000000,-114.812278747559
1020000000,-82.1249008178711
1030000000,-111.309410095215
1040000000,-84.251838684082
1050000000,-113.150436401367
1060000000,-83.1248016357422
1070000000,-116.617126464844
1080000000,-82.7372970581055
1090000000,-113.303230285645
1100000000,-78.5609893798828
1110000000,-115.145034790039
1120000000,-83.2194061279297
1130000000,-111.732666015625
1140000000,-82.6119766235352
1150000000,-110.85710144043
1160000000,-83.5965881347656
1170000000,-113.96753692627
1180000000,-84.2424163818359
1190000000,-114.779144287109
1200000000,-83.0000228881836
1210000000,-115.035224914551
1220000000,-84.1780853271484
1230000000,-115.7197265625
1240000000,-84.8910446166992
1250000000,-115.07738494873
1260000000,-83.2897033691406
1270000000,-113.609497070313
1280000000,-83.9247665405273
1290000000,-119.908378601074
1300000000,-84.5899429321289
1310000000,-113.014320373535
1320000000,-84.8316192626953
1330000000,-114.316673278809
1340000000,-83.7474670410156
1350000000,-111.299789428711
1360000000,-84.0810241699219
1370000000,-111.772506713867
1380000000,-83.0973587036133
1390000000,-117.588737487793
1400000000,-83.2827453613281
1410000000,-114.312629699707
1420000000,-84.0159759521484
1430000000,-117.757835388184
1440000000,-84.7847061157227
1450000000,-114.349258422852
1460000000,-82.2890243530273
1470000000,-110.510047912598
1480000000,-84.3126678466797
1490000000,-110.656913757324
1500000000,-82.8357391357422
1510000000,-110.046897888184
1520000000,-83.0549163818359
1530000000,-116.50121307373
1540000000,-81.5522155761719
1550000000,-119.376136779785
1560000000,-83.7849578857422
1570000000,-112.353729248047
1580000000,-83.0175170898438
1590000000,-116.612838745117
1600000000,-81.0989456176758
1610000000,-113.949409484863
1620000000,-83.5702133178711
1630000000,-118.036407470703
1640000000,-82.3785705566406
1650000000,-116.986824035645
1660000000,-81.918586730957
1670000000,-110.631362915039
1680000000,-83.5489273071289
1690000000,-110.520050048828
1700000000,-82.8955764770508
1710000000,-115.047782897949
1720000000,-82.6455078125
1730000000,-112.673210144043
1740000000,-81.9283752441406
1750000000,-111.783935546875
1760000000,-83.3015747070313
1770000000,-112.08716583252
1780000000,-82.5059432983398
1790000000,-111.766891479492
1800000000,-75.0049743652344
1810000000,-112.850456237793
1820000000,-82.123908996582
1830000000,-110.664054870605
1840000000,-82.8490219116211
1850000000,-119.609603881836
1860000000,-83.6108779907227
1870000000,-111.027282714844
1880000000,-82.9553833007813
1890000000,-114.291229248047
1900000000,-82.4160461425781
1910000000,-112.591567993164
1920000000,-83.1737060546875
1930000000,-110.698997497559
1940000000,-82.7237701416016
1950000000,-111.602882385254
1960000000,-83.6651458740234
1970000000,-112.093650817871
1980000000,-82.8007965087891
1990000000,-110.169715881348
2000000000,-68.4977493286133
2010000000,-114.353813171387
2020000000,-80.2430801391602
2030000000,-107.834815979004
2040000000,-81.6689758300781
2050000000,-110.401504516602
2060000000,-80.4848175048828
2070000000,-111.649993896484
2080000000,-82.7107162475586
2090000000,-109.815780639648
2100000000,-79.8807067871094
2110000000,-108.214538574219
2120000000,-80.6628036499023
2130000000,-106.73853302002
2140000000,-80.0828247070313
2150000000,-104.999626159668
2160000000,-79.5851974487305
2170000000,-109.964874267578
2180000000,-80.6561660766602
2190000000,-106.758811950684
2200000000,-62.7035255432129
2210000000,-107.401237487793
2220000000,-79.9260025024414
2230000000,-111.723815917969
2240000000,-79.6957931518555
2250000000,-116.160957336426
2260000000,-80.7361145019531
2270000000,-110.339981079102
2280000000,-80.7339782714844
2290000000,-110.087310791016
2300000000,-66.7197189331055
2310000000,-112.28849029541
2320000000,-82.2189025878906
