Trace
Swept SA
A.21.04,N9000B
880000000,-84.8848724365234
890000000,-121.077934265137
900000000,-23.1376705169678
910000000,-112.866500854492
920000000,-85.0701751708984
930000000,-114.090698242188
940000000,-83.6466598510742
950000000,-111.774681091309
960000000,-83.4747924804688
970000000,-116.554252624512
980000000,-83.2081909179688
990000000,-113.319732666016
1000000000,-34.6142387390137
1010000000,-116.404121398926
1020000000,-81.5517044067383
1030000000,-117.700729370117
1040000000,-84.2065505981445
1050000000,-108.809776306152
1060000000,-83.0386734008789
1070000000,-108.359954833984
1080000000,-83.4583206176758
1090000000,-110.422073364258
1100000000,-24.2130546569824
1110000000,-116.450904846191
1120000000,-82.9798889160156
1130000000,-112.747596740723
1140000000,-84.2384719848633
1150000000,-109.76375579834
1160000000,-82.3247833251953
1170000000,-111.199737548828
1180000000,-83.4254608154297
1190000000,-111.432441711426
1200000000,-51.7915382385254
1210000000,-112.532768249512
1220000000,-81.5132827758789
1230000000,-113.14582824707
1240000000,-83.9717788696289
1250000000,-120.338180541992
1260000000,-84.965202331543
1270000000,-112.351493835449
1280000000,-84.0188751220703
1290000000,-117.019973754883
1300000000,-39.1125831604004
1310000000,-113.635559082031
1320000000,-83.3865509033203
1330000000,-115.241836547852
1340000000,-83.6247329711914
1350000000,-113.64567565918
1360000000,-83.4796371459961
1370000000,-116.773239135742
1380000000,-84.8518829345703
1390000000,-113.963806152344
1400000000,-55.9740715026855
1410000000,-115.253349304199
1420000000,-83.7485733032227
1430000000,-117.369735717773
1440000000,-82.9099502563477
1450000000,-115.805862426758
1460000000,-83.3898544311523
1470000000,-111.021041870117
1480000000,-82.2503509521484
1490000000,-115.805816650391
1500000000,-59.8287620544434
1510000000,-117.338340759277
1520000000,-82.9641494750977
1530000000,-117.897850036621
1540000000,-83.2365417480469
1550000000,-109.336730957031
1560000000,-82.5727310180664
1570000000,-112.678810119629
1580000000,-81.0271377563477
1590000000,-115.695419311523
1600000000,-60.3864364624023
1610000000,-110.303428649902
