Trace
Swept SA
A.21.04,N9000B
8640000,-88.7612152099609
8680000,-103.582794189453
8720000,-89.3500900268555
8760000,-102.41764831543
8800000,-92.7611465454102
8840000,-101.887649536133
8880000,-91.4802627563477
8920000,-99.9426879882813
8960000,-90.6278228759766
9000000,-99.2046966552734
9040000,-88.4928741455078
9080000,-92.8700866699219
9120000,-90.6745300292969
9160000,-99.8221435546875
9200000,-91.1352081298828
9240000,-103.879165649414
9280000,-90.1684112548828
9320000,-97.8876647949219
9360000,-85.9799728393555
9400000,-100.65934753418
9440000,-85.6383666992188
9480000,-93.9945983886719
9520000,-88.4465026855469
9560000,-95.9543380737305
9600000,-88.4043731689453
9640000,-93.6400909423828
9680000,-88.3862609863281
9720000,-95.7176666259766
9760000,-88.0351181030273
9800000,-100.75617980957
9840000,-89.2113647460938
9880000,-97.1314544677734
9920000,-89.3378143310547
9960000,-92.0864562988281
10000000,-87.2538375854492
10040000,-95.9463958740234
10080000,-85.4460220336914
10120000,-99.8423385620117
10160000,-91.4976196289063
10200000,-104.247344970703
10240000,-89.351318359375
10280000,-96.1994018554688
10320000,-88.0138473510742
10360000,-101.682479858398
10400000,-94.3979949951172
10440000,-106.929206848145
10480000,-90.9985656738281
10520000,-103.523460388184
10560000,-92.9082107543945
10600000,-96.3932113647461
10640000,-90.6566772460938
10680000,-107.830253601074
10720000,-85.4788589477539
10760000,-106.130699157715
10800000,-85.5430145263672
10840000,-102.334396362305
10880000,-89.8594436645508
10920000,-115.561767578125
10960000,-89.8473587036133
11000000,-102.33438873291
11040000,-90.1958160400391
11080000,-96.9306564331055
11120000,-88.53076171875
11160000,-112.448608398438
11200000,-89.0007476806641
11240000,-97.4912185668945
11280000,-89.5136032104492
11320000,-104.212554931641
11360000,-89.5198974609375
11400000,-105.640739440918
11440000,-93.1601333618164
11480000,-106.14087677002
11520000,-90.2857284545898
11560000,-93.8310623168945
11600000,-86.3204193115234
11640000,-102.665756225586
11680000,-91.0700531005859
11720000,-106.887397766113
11760000,-91.9368362426758
11800000,-104.34741973877
11840000,-89.2384414672852
11880000,-94.4749221801758
11920000,-88.3968124389648
11960000,-103.735298156738
12000000,-90.0490798950195
12040000,-99.5978164672852
12080000,-86.1138000488281
12120000,-105.936363220215
12160000,-91.6523132324219
12200000,-107.339706420898
12240000,-89.8618850708008
12280000,-106.666038513184
12320000,-89.3036193847656
12360000,-104.852256774902
12400000,-96.5663528442383
12440000,-105.853645324707
12480000,-87.810188293457
12520000,-97.1287689208984
12560000,-87.6490783691406
12600000,-103.218208312988
12640000,-89.9988784790039
12680000,-108.312515258789
12720000,-90.0452728271484
12760000,-104.165580749512
12800000,-88.5103988647461
12840000,-90.7899322509766
12880000,-87.2725677490234
12920000,-97.3990859985352
12960000,-89.6785507202148
13000000,-99.8345718383789
13040000,-90.6410827636719
13080000,-107.40828704834
13120000,-89.5087127685547
13160000,-104.446807861328
13200000,-87.9915084838867
13240000,-96.2423095703125
13280000,-89.1239318847656
13320000,-98.8539123535156
13360000,-87.7453384399414
13400000,-110.472206115723
13440000,-90.2647094726563
13480000,-99.6295471191406
13520000,-87.9321212768555
13560000,-96.3850784301758
13600000,-88.8871994018555
13640000,-96.9374542236328
13680000,-87.3670654296875
13720000,-103.836120605469
13760000,-89.0254211425781
13800000,-96.862663269043
13840000,-90.1378860473633
13880000,-99.0704116821289
13920000,-92.5514297485352
13960000,-103.330032348633
14000000,-88.3438949584961
14040000,-93.1421508789063
14080000,-88.7448425292969
14120000,-106.457656860352
14160000,-92.5596313476563
14200000,-92.9470977783203
14240000,-90.4047927856445
14280000,-105.344413757324
14320000,-90.9103393554688
14360000,-98.9371719360352
14400000,-87.6511840820313
14440000,-97.0301284790039
14480000,-91.9696502685547
14520000,-104.373199462891
14560000,-90.1869506835938
14600000,-99.0647506713867
14640000,-90.2950592041016
14680000,-101.83056640625
14720000,-92.3879241943359
14760000,-97.5269775390625
14800000,-87.2664260864258
14840000,-96.0958557128906
14880000,-89.5910110473633
14920000,-97.80029296875
14960000,-88.6725997924805
15000000,-100.155258178711
15040000,-91.7801284790039
15080000,-105.552711486816
15120000,-93.1363906860352
15160000,-99.8870162963867
15200000,-90.7816619873047
15240000,-102.192687988281
15280000,-95.5428085327148
15320000,-96.5931625366211
15360000,-88.7128448486328
15400000,-115.794586181641
15440000,-87.6421585083008
15480000,-107.690315246582
15520000,-90.0166473388672
15560000,-103.099220275879
15600000,-93.0712051391602
15640000,-104.28441619873
15680000,-91.4286346435547
15720000,-95.4946060180664
15760000,-89.6983489990234
15800000,-102.380889892578
15840000,-91.166259765625
15880000,-101.633125305176
15920000,-90.0462188720703
15960000,-100.238349914551
16000000,-91.680534362793
16040000,-110.159927368164
16080000,-97.5108108520508
16120000,-103.269798278809
16160000,-88.0604858398438
16200000,-98.2409515380859
16240000,-88.010612487793
16280000,-102.044326782227
16320000,-91.6018981933594
16360000,-102.706733703613
16400000,-89.0812911987305
16440000,-93.7968368530273
16480000,-88.6000442504883
16520000,-98.3115692138672
16560000,-88.7084884643555
16600000,-99.7775039672852
16640000,-89.4504776000977
16680000,-108.960670471191
16720000,-91.1356201171875
16760000,-97.3661270141602
16800000,-91.3666076660156
16840000,-100.851699829102
16880000,-87.1608810424805
16920000,-108.334587097168
16960000,-90.4441909790039
17000000,-100.273780822754
17040000,-86.7377548217773
17080000,-111.535621643066
17120000,-91.7982177734375
17160000,-106.368751525879
17200000,-92.5096664428711
17240000,-99.5088043212891
17280000,-91.4940185546875
17320000,-106.571922302246
17360000,-94.3217697143555
17400000,-104.599647521973
17440000,-91.0510559082031
17480000,-111.076606750488
17520000,-90.1024780273438
17560000,-100.732917785645
17600000,-89.1699905395508
17640000,-114.611206054688
17680000,-92.7153625488281
17720000,-99.8012542724609
17760000,-89.5090179443359
17800000,-99.903190612793
17840000,-89.5393600463867
17880000,-112.866897583008
17920000,-94.5576248168945
17960000,-102.856025695801
18000000,-94.5754089355469
18040000,-99.1816253662109
18080000,-90.2128524780273
18120000,-101.68531036377
18160000,-91.304443359375
18200000,-93.5741806030273
18240000,-85.7642364501953
18280000,-99.2975311279297
18320000,-95.6379318237305
18360000,-103.908561706543
18400000,-90.9827117919922
18440000,-91.6157302856445
18480000,-89.3010864257813
18520000,-110.878234863281
18560000,-88.5501098632813
18600000,-103.767501831055
18640000,-89.7337951660156
18680000,-100.335510253906
18720000,-90.3044967651367
18760000,-92.0211639404297
18800000,-88.3686904907227
18840000,-109.248718261719
18880000,-92.9062652587891
18920000,-103.317359924316
18960000,-91.2478485107422
19000000,-99.637451171875
19040000,-86.3178176879883
19080000,-97.2246475219727
19120000,-90.3032379150391
19160000,-96.1997604370117
19200000,-88.980354309082
19240000,-102.388305664063
19280000,-88.8690948486328
19320000,-106.642158508301
19360000,-92.3399429321289
19400000,-105.261978149414
19440000,-91.5673751831055
19480000,-107.658088684082
19520000,-92.0869598388672
19560000,-109.37230682373
19600000,-89.9720840454102
19640000,-90.7240371704102
19680000,-87.6343765258789
19720000,-100.724617004395
19760000,-91.4550628662109
19800000,-106.045082092285
19840000,-90.3039169311523
19880000,-94.3203048706055
19920000,-87.7406768798828
19960000,-95.5154571533203
